NU_CNS
898004110741019
898001973375283
704006350980961
898050051784116
898050090468785
207359842760003
898003452638814
700600555663867
898000103348478
898000984681231
707302283572370
898004132773487
898002959550082
898003731848858
898002376730564
898000033268101
898000189273463
898004199693477
898001130362967
898002378597233
898004126620585
898003409131746
898000287414207
801440406403347
898004029667351
209948132220003
898004529095276
898002343712001
201534206630018
898000173723685
122403691930003
204399094860018
